epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76053,1.40127,2.6091,1.89239,0.00333,1,0.11788,0.05272,1.04557,3.11492,1.82515,4e-05,4e-05,4e-05
2,4.92965,1.30357,2.56067,1.78577,0.00333,1,0.21299,0.10215,0.85065,3.04728,1.68692,9.934e-05,9.934e-05,9.934e-05
3,6.65885,1.1913,2.45329,1.67904,0.00333,1,0.70125,0.433,0.70772,2.94019,1.64786,0.000157888,0.000157888,0.000157888
4,8.34596,1.10659,2.12003,1.693,0.00333,1,0.88327,0.59739,0.71837,2.88772,1.60928,0.000215644,0.000215644,0.000215644
5,9.94258,1.087,1.84729,1.59544,0.00333,1,0.89558,0.65737,0.70716,2.8059,1.55771,0.000272608,0.000272608,0.000272608
6,11.024,1.12988,1.61481,1.65395,0.00333,1,0.68447,0.50963,0.86046,2.90439,1.78574,0.00032878,0.00032878,0.00032878
7,12.1656,1.1283,1.3588,1.58708,0.00333,1,0.64779,0.34694,1.4894,3.062,2.40023,0.00038416,0.00038416,0.00038416
8,13.1993,1.26015,1.36186,1.64132,0.00315,0.94444,0.69421,0.2815,1.91169,3.14991,2.89782,0.000438748,0.000438748,0.000438748
9,14.2662,1.1037,1.24655,1.57101,0.00718,0.88889,0.61977,0.21256,2.39456,3.27789,3.22562,0.000492544,0.000492544,0.000492544
10,15.2877,1.18369,1.23127,1.62943,0.06606,0.77778,0.68487,0.31136,2.04726,3.12815,2.76548,0.000545548,0.000545548,0.000545548
11,16.4263,1.11647,1.29453,1.47849,0.8837,0.33333,0.8408,0.57342,1.14447,2.66272,1.95541,0.00059776,0.00059776,0.00059776
12,17.5579,1.1406,1.18016,1.53212,1,0.8155,0.96814,0.66897,1.05956,2.42649,1.94963,0.00064918,0.00064918,0.00064918
13,18.6963,1.07089,1.21209,1.45752,1,0.86358,0.966,0.66794,1.05958,2.15819,2.16743,0.000699808,0.000699808,0.000699808
14,19.7296,1.06668,1.27591,1.48439,1,0.88223,0.99,0.66483,1.11864,2.12828,2.1156,0.000749644,0.000749644,0.000749644
15,21.3446,1.13053,1.23301,1.53123,1,0.96465,0.995,0.61776,1.22354,2.19051,2.25509,0.000798688,0.000798688,0.000798688
16,23.0468,1.10754,1.1781,1.56309,0.84848,1,0.96175,0.54085,1.18705,2.11909,2.32723,0.00084694,0.00084694,0.00084694
17,24.5233,1.13132,1.1542,1.4811,0.8961,0.88889,0.88278,0.51954,1.33018,2.61376,2.46217,0.0008944,0.0008944,0.0008944
