epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9213,1.35357,2.9838,1.65064,0.02449,0.95043,0.20541,0.10002,1.33438,3.05775,1.95783,0.000406746,0.000406746,0.000406746
2,37.6007,1.37455,2.30281,1.64967,0.69299,0.26608,0.41129,0.2013,1.58622,2.24739,2.71887,0.000817978,0.000817978,0.000817978
3,52.7606,1.46204,2.19475,1.6765,0.45957,0.12528,0.10554,0.04024,1.76903,3.15994,2.66882,0.00122371,0.00122371,0.00122371
4,68.0634,1.49304,2.16989,1.72458,0.85419,0.13534,0.18577,0.07242,1.77441,3.97863,2.77438,0.00122525,0.00122525,0.00122525
5,83.7198,1.45,2.02957,1.684,0.52302,0.39939,0.32907,0.1179,1.80987,2.97128,3.04536,0.001217,0.001217,0.001217
6,99.1548,1.46209,1.90393,1.69792,0.35249,0.18933,0.15159,0.04234,2.02177,3.63304,2.97685,0.00120875,0.00120875,0.00120875
7,114.573,1.43191,1.88431,1.6515,0.6698,0.34392,0.36406,0.15597,1.72828,3.23738,2.36382,0.0012005,0.0012005,0.0012005
8,130.054,1.40282,1.74982,1.63361,0.72602,0.37368,0.40408,0.17918,1.50709,2.86637,2.13801,0.00119225,0.00119225,0.00119225
9,145.648,1.37569,1.7148,1.62105,0.57663,0.39458,0.44759,0.2124,1.70042,2.06499,2.26871,0.001184,0.001184,0.001184
10,162.2,1.37267,1.68781,1.60968,0.57732,0.56406,0.52555,0.24089,1.60545,1.90443,2.1672,0.00117575,0.00117575,0.00117575
11,177.408,1.33682,1.59239,1.58492,0.75077,0.60962,0.6896,0.35426,1.41756,1.42035,2.01888,0.0011675,0.0011675,0.0011675
12,193.027,1.36743,1.60485,1.61494,0.57759,0.62361,0.68837,0.34383,1.3555,1.74065,1.90003,0.00115925,0.00115925,0.00115925
13,208.461,1.31438,1.49979,1.57621,0.86649,0.74681,0.86646,0.48435,1.27989,1.14544,1.82729,0.001151,0.001151,0.001151
14,223.661,1.29037,1.44032,1.55621,0.71025,0.66394,0.70553,0.31632,1.22281,1.34927,1.80778,0.00114275,0.00114275,0.00114275
15,239.024,1.31552,1.44647,1.56589,0.75916,0.7578,0.80587,0.41427,1.28613,1.37089,1.92961,0.0011345,0.0011345,0.0011345
16,254.367,1.27686,1.39289,1.55304,0.80746,0.74328,0.83147,0.4472,1.18804,1.32079,1.78304,0.00112625,0.00112625,0.00112625
17,269.932,1.24608,1.38008,1.50938,0.90099,0.8962,0.9296,0.56091,1.12977,1.05507,1.7069,0.001118,0.001118,0.001118
18,285.464,1.22551,1.3161,1.49939,0.80912,0.84206,0.87305,0.51095,1.09633,1.07602,1.71479,0.00110975,0.00110975,0.00110975
19,301.143,1.19772,1.27035,1.47408,0.80036,0.68616,0.74495,0.41299,1.26105,1.29839,1.88483,0.0011015,0.0011015,0.0011015
20,317.211,1.21413,1.29176,1.48354,0.84441,0.68123,0.82138,0.50451,1.1622,1.16725,1.70934,0.00109325,0.00109325,0.00109325
21,333.269,1.23264,1.29417,1.50625,0.80178,0.73637,0.79106,0.38609,1.21561,1.03383,1.80688,0.001085,0.001085,0.001085
22,348.52,1.23348,1.23989,1.49286,0.90738,0.72911,0.86523,0.5023,1.23626,1.13857,1.81663,0.00107675,0.00107675,0.00107675
23,363.895,1.16374,1.24788,1.46841,0.73655,0.87674,0.83206,0.46504,1.27151,1.05647,1.89985,0.0010685,0.0010685,0.0010685
24,379.246,1.17723,1.22039,1.48036,0.78324,0.78592,0.84405,0.45939,1.09944,1.12816,1.66373,0.00106025,0.00106025,0.00106025
25,394.709,1.20029,1.23784,1.48504,0.90106,0.84344,0.90736,0.51154,1.19574,0.99052,1.71732,0.001052,0.001052,0.001052
26,409.82,1.16557,1.20297,1.46535,0.95385,0.79884,0.89909,0.48465,1.29382,0.91995,1.8871,0.00104375,0.00104375,0.00104375
27,425.029,1.16759,1.16151,1.46085,0.79591,0.66686,0.73781,0.457,1.13101,1.18513,1.70294,0.0010355,0.0010355,0.0010355
28,439.983,1.15563,1.1793,1.44852,0.82106,0.84839,0.88701,0.54201,1.07361,0.92448,1.63358,0.00102725,0.00102725,0.00102725
29,455.68,1.11203,1.13847,1.42621,0.82992,0.89346,0.90901,0.49602,1.15906,0.92515,1.76613,0.001019,0.001019,0.001019
30,471.484,1.13651,1.13184,1.44287,0.85038,0.87984,0.89403,0.53669,1.08184,0.86971,1.68323,0.00101075,0.00101075,0.00101075
31,488.038,1.11586,1.11946,1.42333,0.72305,0.8544,0.86683,0.53158,1.0609,0.91718,1.6211,0.0010025,0.0010025,0.0010025
32,504.086,1.08787,1.08377,1.39179,0.96049,0.87494,0.9253,0.51959,1.05914,0.88213,1.63069,0.00099425,0.00099425,0.00099425
33,519.216,1.09339,1.08084,1.39695,0.81226,0.81866,0.85789,0.53996,1.01059,0.82884,1.59162,0.000986,0.000986,0.000986
34,534.401,1.08282,1.04896,1.40023,0.94221,0.83359,0.91461,0.56826,1.07953,0.94781,1.677,0.00097775,0.00097775,0.00097775
35,549.916,1.0823,1.06927,1.39968,0.92101,0.81078,0.90526,0.62092,0.92804,0.78035,1.51793,0.0009695,0.0009695,0.0009695
36,564.998,1.06843,1.02258,1.37881,0.95077,0.84854,0.90159,0.56662,0.94744,0.81739,1.57026,0.00096125,0.00096125,0.00096125
37,580.357,1.08341,1.04768,1.41073,0.84335,0.91584,0.93434,0.60036,0.90335,0.75845,1.51881,0.000953,0.000953,0.000953
38,595.175,1.07332,1.05875,1.38881,0.88218,0.91697,0.93888,0.61451,0.96863,0.77044,1.53031,0.00094475,0.00094475,0.00094475
39,610.307,1.07262,1.06834,1.39669,0.92652,0.86418,0.94717,0.61503,1.04731,0.74194,1.61841,0.0009365,0.0009365,0.0009365
40,625.243,1.06095,1.02197,1.38404,0.88305,0.9428,0.95204,0.61071,1.0566,0.76378,1.57325,0.00092825,0.00092825,0.00092825
41,640.358,1.07497,1.02035,1.38,0.8968,0.85032,0.92096,0.60902,0.92067,0.6928,1.51033,0.00092,0.00092,0.00092
42,656.001,1.04432,1.00679,1.37267,0.85655,0.75981,0.85719,0.52854,1.01091,0.86134,1.53797,0.00091175,0.00091175,0.00091175
43,671.759,1.03023,0.96314,1.34751,0.89974,0.89961,0.95079,0.62661,0.97321,0.81581,1.57173,0.0009035,0.0009035,0.0009035
44,687.429,1.02493,0.98596,1.3604,0.89567,0.93693,0.95924,0.63222,0.92197,0.73655,1.51016,0.00089525,0.00089525,0.00089525
45,702.54,1.05972,1.00161,1.36739,0.91358,0.84684,0.92739,0.61548,0.97394,0.84786,1.54746,0.000887,0.000887,0.000887
46,717.461,1.05858,0.99275,1.39046,0.9139,0.87978,0.95197,0.60187,0.93452,0.68681,1.53287,0.00087875,0.00087875,0.00087875
47,732.634,1.01367,0.96322,1.33731,0.93308,0.79242,0.87096,0.569,0.93705,0.85486,1.5338,0.0008705,0.0008705,0.0008705
48,747.555,1.02006,0.95895,1.35442,0.87172,0.91089,0.93929,0.61251,0.84569,0.63341,1.42582,0.00086225,0.00086225,0.00086225
49,763.034,0.98584,0.96633,1.34247,0.97554,0.90966,0.96475,0.61778,0.87398,0.6221,1.44441,0.000854,0.000854,0.000854
50,778.049,0.99962,0.90132,1.32985,0.86259,0.98816,0.97609,0.62651,0.91426,0.60201,1.48769,0.00084575,0.00084575,0.00084575
51,793.54,1.00496,0.91721,1.34627,0.89478,0.83216,0.92334,0.58228,0.9308,0.73475,1.51,0.0008375,0.0008375,0.0008375
52,808.483,0.95072,0.90725,1.30259,0.96658,0.90473,0.96477,0.64463,0.84141,0.65783,1.42738,0.00082925,0.00082925,0.00082925
53,823.755,0.99558,0.92466,1.32387,0.90423,0.91487,0.92927,0.63074,0.90043,0.72628,1.49137,0.000821,0.000821,0.000821
54,839.108,0.982,0.90601,1.32651,0.939,0.92091,0.95584,0.66145,0.86142,0.64245,1.45544,0.00081275,0.00081275,0.00081275
55,855.355,0.99725,0.92934,1.32432,0.94463,0.84684,0.95256,0.6195,0.90157,0.7056,1.48766,0.0008045,0.0008045,0.0008045
56,870.949,0.9776,0.92673,1.32868,0.90996,0.91742,0.95042,0.6168,0.88995,0.75168,1.48052,0.00079625,0.00079625,0.00079625
57,886.392,0.96217,0.8584,1.29211,0.8436,0.81508,0.87923,0.59011,0.87586,0.75949,1.44601,0.000788,0.000788,0.000788
58,901.389,0.96265,0.88598,1.30309,0.96958,0.97595,0.99151,0.64293,0.99442,0.60116,1.58513,0.00077975,0.00077975,0.00077975
59,916.398,0.95971,0.87032,1.29217,0.92676,0.95219,0.972,0.65691,0.83012,0.65218,1.41069,0.0007715,0.0007715,0.0007715
60,931.554,0.93396,0.86344,1.29567,0.92144,0.97225,0.98165,0.67947,0.83265,0.54167,1.41817,0.00076325,0.00076325,0.00076325
61,946.653,0.96152,0.88226,1.31014,0.87179,0.93546,0.95951,0.64093,0.87978,0.63292,1.46782,0.000755,0.000755,0.000755
62,961.869,0.97596,0.8784,1.31359,0.92706,0.9014,0.93122,0.64357,0.87873,0.6554,1.48359,0.00074675,0.00074675,0.00074675
63,977.207,0.95271,0.85494,1.29079,0.88433,0.93898,0.95967,0.59181,0.88357,0.6965,1.43725,0.0007385,0.0007385,0.0007385
64,992.339,0.94022,0.82934,1.29187,0.94457,0.95337,0.97902,0.68334,0.84123,0.60175,1.4361,0.00073025,0.00073025,0.00073025
65,1007.44,0.91676,0.84856,1.28026,0.90214,0.92183,0.95979,0.61624,0.95983,0.68532,1.55217,0.000722,0.000722,0.000722
66,1022.66,0.90538,0.83751,1.26806,0.89513,0.88137,0.94573,0.61699,0.83879,0.61377,1.43435,0.00071375,0.00071375,0.00071375
67,1038.34,0.90552,0.80982,1.27504,0.88246,0.97095,0.97111,0.6623,0.81201,0.55587,1.41851,0.0007055,0.0007055,0.0007055
68,1054.02,0.93708,0.84319,1.2932,0.92531,0.96148,0.98144,0.66568,0.83848,0.57678,1.41452,0.00069725,0.00069725,0.00069725
